record_id,ocr_headword,resolved_historical_headword,historical_article,historical_pos,resolution_type,source_page_approx,proofread_source,reviewer,review_date,notes
kha-n1906-000154,'bat-iambait ii,'bat-iambâit,u,noun,article_split,15,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Trailing OCR token belongs to grammatical article; proofread source confirms u."
kha-n1906-001887,'lenpula ii,'lenpula,u,noun,article_split,130,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Trailing OCR token belongs to grammatical article; proofread source confirms u."
kha-n1906-000133,Ba'n la,Ba'n ia,,phrase,corrected_ocr,14,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"OCR read ia as la; proofread phrase is Ba'n ia, meaning rather than."
kha-n1906-000109,Balangj ka,Balang,ka,noun,article_split,13,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Spurious j removed and article ka separated; source also records an adjectival sense."
kha-n1906-002945,Bdad um,Sdád um,ka,noun,corrected_ocr,205,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"OCR damaged initial S and accent; article ka is grammatical metadata."
kha-n1906-000212,Boit ha,Boitha,ka,noun,wrong_headword_match,19,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"The rudder gloss belongs to Boitha, not Boit; Boit is a separate dictionary headword."
kha-n1906-001236,DiengddWj ka,Diengdáw,ka,noun,corrected_ocr,77,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"OCR corrupted the final syllable; article ka separated."
kha-n1906-001257,Diengsong ka,Diengsong,ka,noun,article_split,79,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Headword confirmed; trailing ka is grammatical article."
kha-n1906-001272,Diengtyllij u,Diengtylli,u,noun,corrected_ocr,80,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Spurious final j removed; article u separated."
kha-n1906-001302,Dohtdongj ka,Dohtdong,ka,noun,corrected_ocr,82,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Spurious final j removed; article ka separated."
kha-n1906-001343,Dumasla ti,Dumasla,u,noun,article_split,84,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"OCR trailing token corrected to grammatical article u."
kha-n1906-001538,Irian g,Iriang,,adjective,corrected_ocr,106,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"OCR inserted a space before final g."
kha-n1906-000536,Khir u,Khir,u,noun,article_split,38,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Headword confirmed; trailing u is grammatical article."
kha-n1906-000673,Khur-met u,Khúr-met,u,noun,article_split,46,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Article u separated and historical accent restored."
kha-n1906-000701,Khynra w,Khynráw,,noun,corrected_ocr,47,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"OCR split final w from headword; historical accent restored."
kha-n1906-000773,Kohlyngkai w,Kohlyngkâi,u,noun,corrected_ocr,52,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"OCR damaged article and vowel mark; proofread source confirms u."
kha-n1906-000875,Kthaw kurim u,Kthâw kurim,u,noun,article_split,58,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Multiword headword confirmed; article u separated and historical accent restored."
kha-n1906-002819,Kyngkew-u-Basa u,Ryngkew-u-Basa,u,noun,corrected_ocr,196,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Initial R misread as K; article u separated."
kha-n1906-002045,Lyntaitj ka,Lyntait,ka,noun,corrected_ocr,141,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Spurious final j removed; article ka separated."
kha-n1906-002522,Phrong ka,Phrong,ka,noun,article_split,176,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Headword confirmed; trailing ka is grammatical article."
kha-n1906-002531,Phylliah-ding w,Phylliah-ding,u,noun,corrected_ocr,177,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"OCR article w corrected to u and separated."
kha-n1906-002818,Ryngkew ka,Ryngkew,ka,noun,article_split,196,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Headword confirmed; trailing ka is grammatical article."
kha-n1906-003849,Yn sa,Yn sa,,phrase,confirmed,271,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Confirmed as a genuine phrase; 1906 source glosses it as it will."
kha-n1906-001503,'iar-mangkalai,'iar-mangkalai,u,noun,confirmed,99,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Confirmed genuine headword; source gives a long-legged fowl."
kha-n1906-001500,Jaid-ior-ior,Iáid-ior-ior,,verb,corrected_ocr,96,Wikisource proofread transcription + Commons 1906 scan,KurbahTech,2026-09-14,"Initial historical I and accent restored; reduplicative/expressive form retained."
